"objid","specobjid","ra","dec","u","g","r","i","z","run","rerun","camcol","field","plate","mjd","fiberid","petroRad_u","petroRad_g","petroRad_i","petroRad_r","petroRad_z","petroFlux_u","petroFlux_g","petroFlux_i","petroFlux_r","petroFlux_z","petroR50_u","petroR50_g","petroR50_i","petroR50_r","petroR50_z","psfMag_u","psfMag_r","psfMag_g","psfMag_i","psfMag_z","expAB_u","expAB_g","expAB_r","expAB_i","expAB_z","redshift","class"
"1.24E+18","3.31E+17","197.421174","-1.048259577","17.40012","15.9258","15.17839","14.82591","14.52854","752","301","1","360","294","51986","13","17.09633","18.28929","16.84829","18.00618","17.2854","141.3791","543.7438","1364.037","1012.24","1646.885","8.63734","8.241711","7.537032","7.758559","7.17697","20.58581","18.33106","18.99032","18.08309","17.63847","0.4746326","0.5323529","0.5535386","0.5770343","0.5652404","0.02443011","GALAXY"
"1.24E+18","8.39E+18","197.5462076","-1.046958691","18.95832","18.0447","17.77005","17.67359","17.74159","752","301","1","361","7456","56727","368","1.504643","1.556615","1.212344","1.298326","1.422147","23.87468","57.10814","81.47929","74.96685","84.06944","0.7693174","0.7556148","0.6291367","0.6598819","0.7245497","18.93628","17.76258","18.03809","17.67306","17.74757","0.4310747","0.5864469","0.9997087","0.7304356","0.9008664","0.000492301","STAR"
"1.24E+18","8.39E+18","197.5954381","-1.136540691","17.33787","16.3675","16.08342","15.96498","15.93136","752","301","1","361","7456","56727","372","1.68486","1.589168","1.256909","1.350744","1.540654","109.3363","269.0727","395.0815","355.3254","405.386","0.8292553","0.7819879","0.6467754","0.684278","0.7630689","17.33327","16.10524","16.38842","15.97665","15.95254","0.1748077","0.5946596","0.9974754","0.7499993","0.999895","2.04E-05","STAR"
"1.24E+18","3.32E+17","197.6133846","-1.235459296","17.55398","16.31082","15.82231","15.63342","15.53234","752","301","1","361","295","51985","291","1.719166","1.569745","1.283929","1.34817","1.521104","90.64243","283.8153","535.8254","449.9412","578.7452","0.8416099","0.7758535","0.6605246","0.6866608","0.7691225","17.56941","15.82643","16.31344","15.63271","15.54354","0.6324867","0.2246178","0.9820115","0.3999549","0.9999048","0.000188813","STAR"
"1.24E+18","3.27E+18","197.6222765","-1.120127328","16.26088","15.3302","14.90375","14.7409","14.69645","752","301","1","361","2901","54652","201","1.916794","1.798146","1.532642","1.579853","1.744935","300.3565","714.8724","1243.555","1068.76","1272.343","0.9171204","0.8540887","0.7382312","0.7599236","0.850706","16.34943","15.0381","15.41788","14.89307","14.85142","0.9997374","0.7481489","0.3212106","0.2951967","0.497734","0.000518117","STAR"
"1.24E+18","3.32E+17","197.637499","-1.214256732","19.47885","17.58269","16.7556","16.35475","16.10601","752","301","1","361","295","51985","283","3.634022","5.783306","5.49992","5.748464","4.312749","9.178634","77.66521","241.1132","169.6894","233.6321","1.547445","2.490329","2.383814","2.465367","1.761347","20.76785","18.39053","19.06678","18.01428","17.52729","0.661094","0.8786875","0.8328487","0.8357359","0.7629544","0.08455453","GALAXY"
"1.24E+18","8.39E+18","197.6545729","-1.162932268","18.42792","17.16193","16.68961","16.53239","16.4568","752","301","1","361","7456","56727","326","1.689404","1.655515","1.260867","1.327913","1.547016","40.06592","130.0181","233.8352","202.3179","248.779","0.8332739","0.8064617","0.6466048","0.6776991","0.7613428","18.42706","16.69994","17.18969","16.53716","16.46589","0.4877059","0.9727396","0.999854","0.9998652","0.6413697","-2.24E-05","STAR"
"1.24E+18","8.39E+18","197.5855442","-1.20002973","19.47341","17.39454","16.41801","16.01307","15.76206","752","301","1","361","7456","56727","363","1.697955","1.568242","1.26807","1.336363","1.48997","15.45366","104.7607","376.9982","260.0166","464.4474","0.8178254","0.766634","0.6512642","0.6802542","0.7588832","19.46294","16.41844","17.38808","16.00993","15.75755","0.3988298","0.5387106","0.2987143","0.6113858","0.9312878","0.000381929","STAR"
"1.24E+18","3.32E+17","197.6630798","-1.109787691","19.38302","18.31566","17.71927","17.34785","17.14929","752","301","1","361","295","51985","295","4.079412","4.182787","3.787133","3.828288","3.663309","19.2585","48.89668","113.9643","83.90328","129.525","2.018749","1.946755","1.730154","1.81663","1.688366","20.47029","19.01665","19.48762","18.64899","18.2191","0.5649164","0.6450979","0.6663936","0.6703064","0.6620935","0.1185975","GALAXY"
"1.24E+18","3.83E+17","197.6709023","-1.24936436","18.98242","17.70605","16.9146","16.47284","16.1665","752","301","1","361","340","51990","380","7.221023","6.636359","6.220687","6.4929","6.312916","23.47759","73.47585","216.1427","144.3359","267.9646","3.000946","2.927236","2.632779","2.658161","2.487057","20.53586","18.61573","19.3585","18.18166","17.73079","0.5948108","0.6060771","0.6269963","0.6628671","0.6729333","0.1410411","GALAXY"
"1.24E+18","8.39E+18","197.7328975","-1.218127611","18.53201","16.7881","16.07663","15.7843","15.63528","752","301","1","362","7456","56727","328","1.706047","1.639127","1.297497","1.338273","1.428513","36.33691","181.8394","459.9564","355.7453","527.244","0.8354713","0.8012025","0.6638591","0.6856812","0.7253029","18.52808","16.07321","16.76922","15.77695","15.62238","0.08120415","0.8699508","0.8657555","0.1136902","0.2823706","6.54E-05","STAR"
"1.24E+18","7.41E+17","15.90268354","-10.83276134","18.25803","16.37938","15.44973","15.00829","14.66387","1740","301","1","126","658","52146","50","17.11595","16.85792","14.58963","15.64311","12.55753","85.07165","325.7005","913.7575","643.8638","1005.601","8.626666","7.824332","5.974192","6.45288","4.394082","20.69415","17.87768","18.81766","17.38488","16.87659","0.7484553","0.7750776","0.7747781","0.7153941","0.7396778","0.1028229","GALAXY"
"1.24E+18","2.15E+18","5.871662537","-10.95881256","16.37508","14.89418","14.36667","14.17421","14.10241","1740","301","1","61","1912","53293","216","1.516991","1.408143","1.042555","1.090909","1.274452","260.6004","1037.712","2027.578","1700.034","2156.049","0.7428437","0.701099","0.5460576","0.5691063","0.6498501","16.39018","14.37754","14.91393","14.15895","14.09908","0.8143895","0.868011","0.8998515","0.7133405","0.3999834","9.27E-06","STAR"
"1.24E+18","2.15E+18","5.978588866","-10.89773499","17.06344","15.57573","15.04573","14.86557","14.79802","1740","301","1","61","1912","53293","129","1.509991","1.395026","1.012722","1.074049","1.232971","137.7693","552.4577","1072.045","910.0631","1132.985","0.7476161","0.697937","0.5297028","0.5596827","0.6337395","17.077","15.04848","15.59868","14.8524","14.78112","0.999842","0.695425","0.8999392","0.6697956","0.05","4.61E-05","STAR"
"1.24E+18","2.15E+18","6.086997914","-11.00959283","17.32914","15.85658","15.30426","15.09858","15.0215","1740","301","1","62","1912","53293","121","1.504068","1.398772","1.07089","1.100625","1.312067","108.4881","430.0258","863.1179","721.7202","922.0264","0.7412795","0.6988567","0.5559928","0.5716001","0.6719186","17.3357","15.31731","15.8735","15.0995","15.02435","0.9150974","0.999971","0.8223522","0.4000047","0.9547955","-0.000190381","STAR"
"1.24E+18","7.35E+17","6.124847373","-10.83970761","19.31359","17.97735","17.29636","16.92547","16.68241","1740","301","1","62","653","52145","217","6.956595","7.523612","7.006023","7.332801","6.043432","23.121","75.4222","182.7445","137.5576","206.866","3.412212","3.382953","2.934299","3.198705","2.723477","21.33264","19.51579","19.95298","19.16498","18.56894","0.6864731","0.5617346","0.5908608","0.6043385","0.5764451","0.1026262","GALAXY"
"1.24E+18","2.15E+18","6.155471864","-11.00522852","18.4866","17.57582","17.29617","17.192","17.18001","1740","301","1","63","1912","53293","124","1.523322","1.488186","1.132629","1.105912","1.336061","37.9413","90.06401","126.4976","114.4126","128.5475","0.7542804","0.7367794","0.5812744","0.5732853","0.6755701","18.49875","17.30918","17.62222","17.20755","17.18687","0.5037861","0.8227688","0.4760033","0.9998452","0.9391953","-0.000504565","STAR"
"1.24E+18","2.15E+18","6.189387411","-10.97345053","19.25249","18.14354","17.57782","17.35582","17.23462","1740","301","1","63","1912","53293","127","1.603234","1.463828","1.128895","1.080579","1.198217","19.16878","53.09106","108.0796","88.08192","116.1441","0.7873076","0.7204052","0.5740894","0.5625982","0.6295404","19.26856","17.57449","18.16617","17.36909","17.22445","0.2548085","0.8651678","0.7816532","0.8918525","0.3219637","-0.000263163","STAR"
"1.24E+18","2.15E+18","6.290195444","-10.8518845","19.3965","17.8754","17.27752","17.08441","16.95185","1740","301","1","63","1912","53293","100","1.405948","1.393158","1.045408","1.039973","1.191568","15.25467","66.48256","138.289","115.1619","153.27","0.6900507","0.6984241","0.5401918","0.5395593","0.6089805","19.35357","17.27526","17.87612","17.09565","16.95233","0.5170987","0.3999317","0.7998595","0.9997318","0.4290755","7.94E-05","STAR"
"1.24E+18","7.35E+17","6.267353587","-10.8574504","19.5546","18.09355","17.25202","16.82867","16.53601","1740","301","1","63","653","52145","137","7.535802","9.783559","6.632061","8.454011","5.522385","4.89457","61.12225","142.0337","105.4704","117.188","1.09323","4.038658","2.639423","2.930473","1.549479","21.08221","19.3141","19.97754","18.87922","18.3873","0.2403672","0.5591887","0.5396431","0.516486","0.5468408","0.1435725","GALAXY"
"1.24E+18","2.15E+18","6.371260584","-10.9250686","17.04018","15.75237","15.33175","15.18294","15.16174","1740","301","1","64","1913","53321","81","1.53786","1.408746","1.100981","1.092582","1.25374","143.8959","472.7538","809.0989","701.935","816.0328","0.762931","0.7031591","0.560143","0.5658978","0.6437646","17.04212","15.33145","15.76641","15.18431","15.16644","0.3499593","0.9996787","0.2497942","0.9999367","0.9185219","-0.000140218","STAR"
"1.24E+18","7.35E+17","6.361675007","-11.04620213","18.70691","17.67289","17.09631","16.7159","16.54898","1740","301","1","64","653","52145","124","4.049528","4.227242","3.888251","3.915779","4.14676","32.18108","84.77283","198.9229","142.043","233.8177","2.040024","2.084008","1.964691","1.974259","2.026326","20.08561","18.85666","19.16097","18.46849","18.01007","0.5294761","0.53302","0.5407771","0.53008","0.4731472","0.1422374","GALAXY"
"1.24E+18","7.41E+17","15.9791553","-10.67822393","19.49299","17.68973","16.58203","16.11883","15.76257","1740","301","1","127","658","52146","58","5.450313","4.896762","5.371161","5.51819","5.178255","18.24789","76.40815","320.022","213.1921","437.3398","3.037366","2.283478","2.230292","2.269771","2.181901","20.88199","18.1245","19.11243","17.70046","17.22546","0.678338","0.6089605","0.6099244","0.6264074","0.6358508","0.1491336","GALAXY"
