"objid","specobjid","ra","dec","u","g","r","i","z","run","rerun","camcol","field","plate","mjd","fiberid","petroRad_u","petroRad_g","petroRad_i","petroRad_r","petroRad_z","petroFlux_u","petroFlux_g","petroFlux_i","petroFlux_r","petroFlux_z","petroR50_u","petroR50_g","petroR50_i","petroR50_r","petroR50_z","psfMag_u","psfMag_r","psfMag_g","psfMag_i","psfMag_z","expAB_u","expAB_g","expAB_r","expAB_i","expAB_z","redshift","class"
"1.24E+18","5.68E+18","334.9590909","12.52113889","18.97776","19.21913","19.60717","19.86976","20.14815","1739","301","2","139","5042","55856","404","1.366488","1.374778","1.166304","1.15897","2.218533","23.71031","19.73685","11.42853","13.82514","11.34258","0.6954802","0.6898083","0.5562534","0.5808237","0.7902122","18.99105","19.63871","19.2601","19.92096","20.10064","0.9585714","0.9998265","0.8370277","0.6815414","0.05","-0.000227128","STAR"
"1.24E+18","8.29E+17","334.946693","12.57681681","18.37388","17.06707","16.20127","15.62361","15.29489","1739","301","2","139","736","52221","66","8.940404","7.706017","7.952196","8.699587","6.873655","44.03126","162.2634","627.7711","380.7468","771.5591","3.23628","3.656975","3.725036","3.874093","3.430714","20.38493","18.57688","19.21047","17.99158","17.51128","0.8570904","0.8537396","0.8242053","0.8755053","0.8087904","0.1254837","GALAXY"
"1.24E+18","2.13E+18","340.6601418","13.1746652","16.90928","15.47556","14.92068","14.724","14.6674","1739","301","2","177","1892","53238","143","1.422024","1.313781","1.021967","1.108681","1.150292","159.6555","605.118","1200.925","1004.447","1263.339","0.712554","0.6622715","0.5264634","0.5652932","0.5887245","16.89288","14.92499","15.4943","14.72374","14.67785","0.5295253","0.9999431","0.999966","0.3999904","0.4239179","-0.000164405","STAR"
"1.24E+18","2.13E+18","340.6872101","13.14673082","18.72619","17.28724","16.72956","16.52982","16.44504","1739","301","2","177","1892","53238","104","1.459011","1.299229","1.022448","1.115547","1.135704","30.20066","113.8747","227.9958","189.6299","247.1497","0.7183682","0.6593857","0.5218394","0.5690368","0.5854656","18.71447","16.73342","17.2897","16.53225","16.44665","0.7459105","0.999895","0.8111311","0.5184127","0.2184873","-0.00035468","STAR"
"1.24E+18","2.13E+18","340.6905449","13.23671979","18.0424","16.80098","16.2988","16.11473","16.05754","1739","301","2","177","1892","53238","116","1.414958","1.286672","1.024324","1.102711","1.132231","56.35763","178.4846","333.259","281.9167","348.7226","0.720435","0.6538303","0.5262845","0.5606808","0.5829945","18.0301","16.30363","16.81461","16.11077","16.0573","0.5776583","0.9998538","0.7272307","0.9998205","0.1495539","-5.45E-05","STAR"
"1.24E+18","3.52E+18","340.752699","13.20055785","18.57339","17.37492","16.84319","16.60205","16.54966","1739","301","2","177","3128","54776","110","1.420073","1.334146","1.02282","1.133462","1.18064","33.83996","106.1696","212.8019","171.54","226.8225","0.7079287","0.6700935","0.5240697","0.5704323","0.5979706","18.5542","16.85136","17.39693","16.60244","16.56942","0.5485783","0.9997101","0.999679","0.8621072","0.9996955","-0.000297677","STAR"
"1.24E+18","3.52E+18","340.6728427","13.24979531","19.30964","17.60153","16.90373","16.62023","16.45906","1739","301","2","177","3128","54776","106","1.470826","1.2908","1.007203","1.100925","1.143292","17.52458","85.45263","209.1316","161.6735","243.4064","0.7048373","0.6490163","0.5228265","0.5582186","0.5829746","19.28394","16.90939","17.60918","16.60804","16.45834","0.4382366","0.9997135","0.2999408","0.6943024","0.05","-0.000495298","STAR"
"1.24E+18","4.54E+18","213.2045051","1.535203143","18.93489","18.06831","17.71281","17.53509","17.45825","1462","301","2","586","4030","55634","390","1.770005","1.500651","1.07273","1.134335","1.292403","25.06474","56.77697","90.82177","77.94504","100.5965","0.8309579","0.7363703","0.5482506","0.5766515","0.6544381","18.93028","17.69854","18.08321","17.53271","17.45829","0.9342477","0.5475531","0.6557991","0.4027513","0.7299308","0.0004929","STAR"
"1.24E+18","6.00E+17","213.262763","1.371851462","19.38466","19.3571","19.32126","19.17699","19.04837","1462","301","2","587","533","51994","254","1.54307","1.454282","1.090154","1.079706","1.332176","16.41193","16.51764","19.01969","17.74471","23.09237","0.7811402","0.7202588","0.5533533","0.5616975","0.6531531","19.35753","19.31384","19.34423","19.17126","19.0166","0.1500529","0.3809533","0.7589462","0.6802382","0.1630771","1.946013","QSO"
"1.24E+18","6.00E+17","213.272024","1.439481383","19.19403","18.44937","18.25113","17.96756","17.94083","1462","301","2","587","533","51994","255","2.502168","2.926579","3.021615","2.766479","3.632323","18.50974","40.56837","66.93262","52.0144","74.49783","1.253106","1.36516","1.410338","1.379612","1.528893","19.82578","19.36494","19.22639","19.04586","18.89716","0.6171284","0.676343","0.7149105","0.6353086","0.6864645","0.09738105","GALAXY"
