"objid","specobjid","ra","dec","u","g","r","i","z","run","rerun","camcol","field","plate","mjd","fiberid","petroRad_u","petroRad_g","petroRad_i","petroRad_r","petroRad_z","petroFlux_u","petroFlux_g","petroFlux_i","petroFlux_r","petroFlux_z","petroR50_u","petroR50_g","petroR50_i","petroR50_r","petroR50_z","psfMag_u","psfMag_r","psfMag_g","psfMag_i","psfMag_z","expAB_u","expAB_g","expAB_r","expAB_i","expAB_z","redshift","class"
"1.24E+18","7.14E+17","309.9628142","-5.723089728","19.50266","17.53815","16.51979","16.09006","15.67705","1737","301","4","18","634","52164","499","8.586074","4.451101","4.253633","4.426651","4.606155","15.56597","83.9742","311.9615","211.5667","458.3588","2.181977","1.978805","1.896139","1.952611","1.960904","21.0914","18.28486","19.19287","17.92598","17.39983","0.3944876","0.3743491","0.3617912","0.3615788","0.3593818","0.1030144","GALAXY"
"1.24E+18","7.14E+17","310.0983859","-5.687549516","18.93532","18.48277","18.56318","18.69089","18.92838","1737","301","4","19","634","52164","517","1.175977","1.099458","0.8139377","0.9434599","1.179757","26.01619","38.39507","30.9553","35.35482","25.93534","0.5764611","0.5584031","0.4420365","0.4835834","0.4905214","18.93853","18.53832","18.49466","18.66424","18.90874","0.6489859","0.9997441","0.7102658","0.09797545","0.3328885","-8.22E-05","STAR"
"1.24E+18","7.14E+17","310.3555769","-5.632700397","18.64743","17.44763","16.91037","16.5889","16.33743","1737","301","4","20","634","52164","558","10.89076","7.081259","6.917918","7.715257","6.847131","30.1246","68.20722","138.9146","111.3663","170.5106","4.054596","3.253417","2.990067","3.28058","2.956017","21.57907","19.95143","20.30217","19.65822","19.2009","0.9274955","0.8800055","0.8780265","0.9350947","0.7692176","0.06539696","GALAXY"
"1.24E+18","2.16E+18","310.3956057","-5.766270834","18.23432","17.18787","16.82622","16.71001","16.66529","1737","301","4","21","1917","53557","353","1.108052","1.094085","0.8743207","0.8716772","0.9129508","48.34457","126.0999","194.3625","174.5202","197.3439","0.5474052","0.5562307","0.4579446","0.4634941","0.4820728","18.23675","16.83234","17.18184","16.696","16.64993","0.9997738","0.9998315","0.8152844","0.9537024","0.4256208","-0.000402244","STAR"
"1.24E+18","7.14E+17","310.416912","-5.685962773","18.46483","17.2928","16.84919","16.86183","16.61442","1737","301","4","21","634","52164","598","1.062639","1.09229","0.9440269","0.8784574","0.9294224","38.52514","114.363","173.5228","170.7883","208.2326","0.5421873","0.5510247","0.4900983","0.4651657","0.4753472","18.46262","16.84564","17.27961","16.92154","16.58548","0.5618148","0.8935781","0.654302","0.9893311","0.4098629","-0.000312896","STAR"
"1.24E+18","7.21E+17","321.8775275","-7.69843615","18.42847","17.19396","16.71752","16.87514","16.45357","1737","301","3","98","640","52200","104","55.20147","1.184114","1.043371","0.9493838","0.990496","40.19537","125.125","181.469","193.6438","243.6317","0.600323","0.5999862","0.5373483","0.4925758","0.5088911","18.43062","16.72626","17.20089","16.98648","16.43508","0.5014014","0.7111135","0.9997165","0.9886286","0.4941021","-2.17E-06","STAR"
"1.24E+18","2.60E+18","321.9181191","-7.606015896","17.8961","16.44488","15.89012","15.71795","15.6118","1737","301","3","98","2305","54414","35","1.139747","1.178042","0.9005209","0.9437755","1.014482","65.67014","248.9206","493.8309","413.8404","531.5186","0.5873165","0.5965893","0.4710303","0.4902628","0.5147694","17.89782","15.88815","16.45051","15.67978","15.6074","0.2447518","0.3999861","0.9947824","0.5518146","0.9997178","-7.51E-05","STAR"
"1.24E+18","7.21E+17","321.9710215","-7.722727271","17.42977","16.1399","15.65656","15.61552","15.39413","1737","301","3","99","640","52200","107","1.165346","1.178599","0.974141","0.9548386","1.024541","99.94493","329.6841","543.5565","518.5817","651.4199","0.5953783","0.5964631","0.5033658","0.4957617","0.5223522","17.42558","15.65263","16.14745","15.68541","15.39435","0.7217088","0.8998583","0.9998446","0.9118894","0.7072188","-9.64E-05","STAR"
"1.24E+18","7.21E+17","322.0516976","-7.583575478","19.0549","17.70524","17.11099","16.77918","16.59233","1737","301","3","99","640","52200","110","8.778788","8.81911","8.729086","8.921988","7.568576","21.79311","72.94881","167.0387","131.8174","166.278","4.465272","4.207015","4.0517","4.329022","3.581412","22.09624","20.44488","20.9054","20.08669","19.72864","0.6794148","0.8550745","0.8720151","0.8633332","0.9139371","0.06539606","GALAXY"
"1.24E+18","7.21E+17","322.2014282","-7.740544721","19.00723","17.85376","17.45869","17.17879","17.01845","1737","301","3","100","640","52200","65","4.582113","5.638225","5.588237","5.833948","5.831398","24.02233","69.56719","129.2166","102.1339","154.532","2.624926","2.704731","2.674172","2.725402","2.778172","21.16878","20.03043","20.17759","19.78915","19.4927","0.6861656","0.7228731","0.6570323","0.6582685","0.729916","0.05237142","GALAXY"
