"objid","specobjid","ra","dec","u","g","r","i","z","run","rerun","camcol","field","plate","mjd","fiberid","petroRad_u","petroRad_g","petroRad_i","petroRad_r","petroRad_z","petroFlux_u","petroFlux_g","petroFlux_i","petroFlux_r","petroFlux_z","petroR50_u","petroR50_g","petroR50_i","petroR50_r","petroR50_z","psfMag_u","psfMag_r","psfMag_g","psfMag_i","psfMag_z","expAB_u","expAB_g","expAB_r","expAB_i","expAB_z","redshift","class"
"1.24E+18","7.43E+17","18.22037033","-9.642528667","19.58302","18.64184","18.23322","17.87864","17.89459","1729","301","4","203","660","52177","349","3.050789","3.949318","3.7115","3.71961","2.978396","13.9213","36.54464","73.68152","53.62326","69.02737","1.732533","1.841475","1.721197","1.703386","1.739998","20.3369","19.22778","19.43677","18.87915","18.64999","0.804944","0.7552078","0.78635","0.7973044","0.7882287","0.1438415","GALAXY"
"1.24E+18","7.38E+17","10.26432926","-9.941129837","18.60599","16.97672","16.20018","15.79779","15.47013","1729","301","4","150","655","52162","189","9.050701","7.416618","6.036496","6.498187","6.355314","41.5385","148.5557","392.6903","282.0214","526.1133","3.845521","3.184434","2.675852","2.85747","2.703171","20.35793","17.93406","18.65029","17.59735","17.16038","0.6332493","0.8277668","0.9156875","0.812948","0.6750138","0.03682803","GALAXY"
"1.24E+18","7.39E+17","10.26491567","-9.769586416","19.59754","17.79374","16.81951","16.4038","16.04292","1729","301","4","150","656","52148","319","8.261225","5.263402","4.393449","4.496755","3.888662","19.9274","75.83176","262.356","180.6529","344.2005","2.905405","2.136006","1.905964","1.959817","1.800435","20.70577","17.92964","18.77276","17.53158","17.12084","0.8290078","0.8901293","0.8835486","0.941739","0.9918242","0.09463412","GALAXY"
"1.24E+18","3.22E+18","18.40918179","-9.544399198","19.06791","17.00933","16.16281","15.83951","15.65807","1729","301","4","204","2864","54467","477","2.271099","1.913376","1.493745","1.454247","1.744838","22.18161","149.9075","437.7209","328.4968","503.4736","1.050974","0.9250204","0.7484075","0.7315096","0.8606608","19.07229","16.15287","17.02355","15.86551","15.64505","0.6225006","0.9997354","0.6476894","0.5509966","0.101159","0.000120069","STAR"
"1.24E+18","7.42E+17","18.49399092","-9.565020237","17.94834","16.73491","16.0803","15.70673","15.42006","1729","301","4","204","659","52199","629","8.351802","8.674253","7.324179","7.852674","6.785693","61.39631","182.0258","405.3614","311.9201","479.7115","3.679294","3.453503","2.896331","3.140734","2.643534","19.63551","17.97858","18.55095","17.5282","17.09017","0.8802502","0.9209334","0.9155686","0.9661751","0.9370059","0.1108442","GALAXY"
"1.24E+18","3.22E+18","18.58390542","-9.589530463","16.35216","15.22339","14.78667","14.62689","14.55817","1729","301","4","205","2864","54467","496","2.164168","1.777547","1.865284","1.511404","1.733223","269.6567","786.2585","1320.409","1156.428","1402.907","1.035163","0.8674293","0.8966154","0.7527582","0.8434032","16.36282","14.81071","15.22606","14.66049","14.54949","0.6499515","0.8998923","0.849791","0.9997425","0.5442453","-9.46E-05","STAR"
"1.24E+18","3.21E+18","18.64114905","-9.635876057","18.23147","16.86671","16.34563","16.15077","16.06828","1729","301","4","205","2849","54454","451","2.131569","1.753851","1.863716","1.519615","23.03928","47.95261","172.588","324.6552","276.8896","349.4052","1.038018","0.8634351","0.8936734","0.7572548","0.8309025","18.2403","16.35568","16.86959","16.15899","16.06527","0.7721549","0.2326882","0.9942573","0.949972","0.5858032","3.22E-05","STAR"
"1.24E+18","3.21E+18","18.6113587","-9.627310097","18.76722","17.77537","17.38315","17.26505","17.16398","1729","301","4","205","2849","54454","457","2.216872","1.765935","1.854785","1.495138","1.691423","30.01876","75.01385","117.3993","106.2583","125.5438","1.049492","0.8686906","0.8915762","0.7469501","0.8281277","18.77122","17.38569","17.77927","17.2692","17.16236","0.3203097","0.2996612","0.98632","0.9680683","0.3987114","-0.000548121","STAR"
"1.24E+18","3.21E+18","18.64620661","-9.579461465","19.26417","17.81511","17.24576","17.03536","16.88982","1729","301","4","205","2849","54454","460","9.923424","1.705883","1.835313","1.492205","1.588454","19.74515","71.46439","143.8835","120.0698","159.3665","1.127313","0.8400549","0.8907105","0.7517341","0.8213039","19.27961","17.2467","17.80649","17.04409","16.88821","0.9058232","0.2832574","0.3039542","0.9761736","0.4303541","3.80E-05","STAR"
"1.24E+18","7.39E+17","10.30728353","-9.87546576","18.37389","16.65782","15.81782","15.30992","15.0698","1729","301","4","151","656","52148","311","7.773413","6.564373","6.244711","6.599758","6.149404","35.05844","171.1941","570.0929","381.252","699.4531","3.019059","3.020746","2.762807","3.003422","2.700134","19.98408","17.74355","18.32826","17.1562","16.96072","0.6774866","0.8209543","0.7811635","0.7720268","0.7278892","0.09499113","QSO"
