"objid","specobjid","ra","dec","u","g","r","i","z","run","rerun","camcol","field","plate","mjd","fiberid","petroRad_u","petroRad_g","petroRad_i","petroRad_r","petroRad_z","petroFlux_u","petroFlux_g","petroFlux_i","petroFlux_r","petroFlux_z","petroR50_u","petroR50_g","petroR50_i","petroR50_r","petroR50_z","psfMag_u","psfMag_r","psfMag_g","psfMag_i","psfMag_z","expAB_u","expAB_g","expAB_r","expAB_i","expAB_z","redshift","class"
"1.24E+18","3.65E+18","163.2486623","4.317906192","19.36471","18.52187","18.23413","18.13968","18.11612","2125","301","3","297","3242","54889","338","1.845734","1.866704","1.536997","1.66556","1.409728","17.48303","38.60828","54.46078","49.91314","52.83963","0.9455485","0.92456","0.7921948","0.8321359","0.7433351","19.34326","18.24135","18.54714","18.13899","18.11826","0.4554418","0.6400185","0.2027275","0.6339273","0.6045802","0.00070258","STAR"
"1.24E+18","6.52E+17","163.2641285","4.343498343","19.41449","18.00384","17.40911","17.05329","16.77168","2125","301","3","297","579","52338","116","5.433224","5.707455","5.48093","5.603461","5.404945","17.08796","63.09977","147.7417","108.3449","184.474","2.608644","2.654052","2.525566","2.575298","2.456737","20.80871","18.97608","19.49346","18.66603","18.40759","0.2679163","0.3426258","0.3354035","0.3481757","0.334857","0.04193762","GALAXY"
"1.24E+18","6.52E+17","163.2999084","4.346970984","19.04593","17.77921","17.29086","16.97867","16.84559","2125","301","3","297","579","52338","101","6.590877","6.939222","6.63239","6.612672","7.141718","26.16065","83.92461","170.9225","129.2415","191.7431","3.127612","3.100914","3.020263","3.017617","3.039718","20.54966","18.97577","19.38963","18.69843","18.54608","0.4813763","0.5295022","0.5445036","0.5612279","0.5325181","0.06617761","GALAXY"
"1.24E+18","6.52E+17","163.3136906","4.334215475","17.98221","16.26597","15.37146","14.86871","14.45886","2125","301","3","297","579","52338","115","7.43758","6.895121","5.556683","5.938527","5.202926","62.04508","285.9709","965.9181","627.7474","1348.933","3.188133","2.959126","2.577107","2.706113","2.439804","19.45074","16.92852","17.78541","16.43659","16.00674","0.4790428","0.4761577","0.4621573","0.4792078","0.4285521","0.04170328","GALAXY"
"1.24E+18","6.53E+17","163.3907387","4.257182545","19.1894","18.05837","17.66933","17.43727","17.39388","2125","301","3","297","580","52368","312","27.92373","11.00009","9.612206","10.09494","9.160194","26.34281","61.18168","91.29949","82.66012","89.58998","5.542159","4.987339","4.242377","4.753489","3.71409","21.42397","20.25248","20.45128","20.06847","20.09427","0.5542028","0.4757653","0.4244061","0.4274918","0.4413603","0.03470029","GALAXY"
"1.24E+18","3.65E+18","163.4002078","4.418016697","17.01222","15.71998","15.80814","15.94171","16.00315","2125","301","3","298","3242","54889","329","31.31571","1.834843","1.510604","1.602409","1.401607","152.1705","502.3597","408.6973","457.1631","381.7393","0.9836084","0.9029497","0.7662729","0.7947928","0.7235195","17.02285","15.80986","15.74281","15.96134","16.00487","0.8500797","0.9772321","0.2783487","0.9398015","0.9406773","0.000331635","STAR"
"1.24E+18","3.65E+18","163.4163395","4.243201283","19.0393","17.4004","16.68269","16.40061","16.28966","2125","301","3","298","3242","54889","333","1.977555","1.813073","1.487083","1.618025","1.438691","23.67392","107.5343","264.9314","205.3623","295.9709","0.9633476","0.8937419","0.7523693","0.8103715","0.7329262","19.04438","16.67416","17.39968","16.38267","16.30089","0.7011501","0.999786","0.5446287","0.05596116","0.9695015","0.000103047","STAR"
"1.24E+18","3.65E+18","163.4693458","4.402970142","16.88685","15.78426","15.42955","15.32315","15.29832","2125","301","3","298","3242","54889","331","1.890025","1.706325","1.489567","1.632655","1.462518","168.7358","473.8871","719.3228","649.0418","729.2194","0.9346868","0.852688","0.7580721","0.8121977","0.7411051","16.88514","15.44539","15.76167","15.32139","15.3144","0.2500049","0.5316184","0.9998","0.999741","0.9025604","1.07E-05","STAR"
"1.24E+18","3.65E+18","163.5301094","4.248231926","19.20179","18.05281","18.22132","18.40258","18.6217","2125","301","3","298","3242","54889","337","11.4342","1.685778","1.461393","1.649729","1.556031","19.79814","59.36083","41.592","49.96983","33.78583","0.8982723","0.8480395","0.7652938","0.826546","0.7835553","19.18958","18.21403","18.06718","18.39224","18.61884","0.6452643","0.822163","0.8372437","0.7267914","0.9708171","0.000642149","STAR"
"1.24E+18","6.52E+17","163.4322979","4.243086177","18.24739","17.07716","16.54598","16.21844","15.97765","2125","301","3","298","579","52338","108","6.697472","6.620905","6.737736","7.039638","6.905611","43.32838","140.7834","309.4789","227.8345","373.0534","3.357891","3.603119","3.541986","3.538092","3.493125","20.01123","18.54757","19.01468","18.25736","18.14732","0.7685377","0.7387959","0.7476608","0.7817324","0.7730632","0.047107","GALAXY"
