"objid","specobjid","ra","dec","u","g","r","i","z","run","rerun","camcol","field","plate","mjd","fiberid","petroRad_u","petroRad_g","petroRad_i","petroRad_r","petroRad_z","petroFlux_u","petroFlux_g","petroFlux_i","petroFlux_r","petroFlux_z","petroR50_u","petroR50_g","petroR50_i","petroR50_r","petroR50_z","psfMag_u","psfMag_r","psfMag_g","psfMag_i","psfMag_z","expAB_u","expAB_g","expAB_r","expAB_i","expAB_z","redshift","class"
"1.24E+18","8.61E+17","137.9849272","49.08209729","19.39172","17.55699","16.68029","16.29154","15.97329","2137","301","2","251","765","52254","67","4.739562","4.121122","4.239951","4.118095","3.910156","17.49684","89.45343","286.4601","197.7323","372.1161","2.066267","1.818174","1.826347","1.820887","1.715642","20.31006","17.66739","18.58162","17.36597","17.04322","0.7373803","0.8055801","0.821355","0.8276919","0.8702686","0.08058985","GALAXY"
"1.24E+18","8.61E+17","137.8130339","49.09401595","19.28282","19.20674","19.24733","18.9255","18.88469","2137","301","2","251","765","52254","638","1.790657","1.509346","1.416475","1.625158","1.440127","18.55145","19.96108","25.82561","19.2848","27.34675","0.916688","0.7585754","0.7058696","0.7912086","0.7112371","19.27909","19.25327","19.2194","18.9262","18.89077","0.4040711","0.9581742","0.9998869","0.9998431","0.3509384","1.796224","QSO"
"1.24E+18","8.61E+17","137.9475967","49.04049813","18.58245","17.4541","17.05278","16.82259","16.6456","2137","301","2","251","765","52254","115","8.317124","8.083922","8.319364","7.997286","8.670972","34.48051","102.5525","182.2446","145.2328","211.1075","3.96235","4.002086","3.92791","3.897789","3.804944","20.70042","19.24338","19.79898","19.18377","19.00095","0.5805062","0.6038573","0.5957778","0.6237202","0.6488466","0.03543866","GALAXY"
"1.24E+18","6.45E+18","138.0832808","48.99396688","17.83685","16.02803","15.20452","14.83374","14.52847","2137","301","2","251","5733","56575","648","10.13783","8.193641","8.558058","8.487284","8.006647","68.218","376.3488","1117.094","794.9307","1490.274","3.299158","3.425683","3.413049","3.436554","3.394239","19.23144","16.68581","17.54893","16.42441","16.13562","0.7305512","0.7783258","0.7816483","0.7867963","0.8332471","0.05126908","GALAXY"
"1.24E+18","8.61E+17","138.0919869","48.98439418","19.39177","17.33884","16.26925","15.8353","15.45734","2137","301","2","251","765","52254","71","10.6862","7.955998","7.957649","8.384735","7.240487","16.22255","116.6512","468.8746","317.6772","641.8785","2.674979","3.173887","3.23157","3.30393","3.026922","20.64961","17.64617","18.77173","17.31004","16.94874","0.509377","0.8190337","0.8356624","0.8699913","0.8142798","0.1172198","GALAXY"
"1.24E+18","8.61E+17","137.9709988","49.10744612","18.8736","17.05202","16.17434","15.75857","15.46738","2137","301","2","251","765","52254","634","7.503719","6.429107","6.290126","6.001289","6.200866","27.61847","127.3999","411.8388","275.7079","529.3933","3.338956","2.880952","2.812793","2.760542","2.713114","20.59299","17.8829","18.82335","17.57046","17.25874","0.8219246","0.8168494","0.7908829","0.7903168","0.8122607","0.08119756","GALAXY"
"1.24E+18","8.24E+18","138.1110372","49.03537709","19.58478","19.56153","19.26038","19.22228","19.23747","2137","301","2","251","7314","56990","818","1.870663","1.509603","1.367172","1.504405","1.316467","14.1457","14.29154","18.88124","18.50274","17.86274","0.8949406","0.7340198","0.6897073","0.757345","0.6388466","19.56684","19.24526","19.54408","19.21002","19.2289","0.5456573","0.3110789","0.131418","0.9998308","0.3020807","1.405368","QSO"
"1.24E+18","8.61E+17","138.1205417","49.04704557","19.52933","17.52673","16.53441","16.11431","15.75779","2137","301","2","251","765","52254","79","10.92669","7.252907","6.392574","6.411354","5.824189","20.35825","95.03257","330.5006","224.1193","439.9933","4.383861","2.865882","2.658146","2.671733","2.477754","20.80702","17.93834","19.00877","17.6065","17.24733","0.6854587","0.8067074","0.7842107","0.7465016","0.7796942","0.1083022","GALAXY"
"1.24E+18","8.63E+17","138.1125102","49.09251541","19.5245","18.16346","17.44558","17.07405","16.81984","2137","301","2","252","766","52247","257","5.764919","4.888832","4.687435","4.774866","4.641408","17.54481","55.78456","139.3624","101.4109","169.4751","2.797056","2.459084","2.236766","2.279202","2.11201","20.84998","18.94987","19.66108","18.59915","18.36895","0.7982578","0.7535986","0.7289575","0.7405076","0.7088496","0.1105289","GALAXY"
"1.24E+18","8.61E+17","138.1705047","49.08021015","18.92497","17.87987","17.40058","17.09787","16.92785","2137","301","2","252","765","52254","77","8.220709","8.261384","7.263917","7.22105","6.620792","30.97983","84.97839","150.2701","114.8924","173.038","3.583619","3.731264","3.134422","3.171653","3.073758","20.57198","19.19651","19.71297","18.90138","18.76412","0.9362799","0.9997147","0.9237682","0.9372751","0.9215187","0.09980626","GALAXY"
