"objid","specobjid","ra","dec","u","g","r","i","z","run","rerun","camcol","field","plate","mjd","fiberid","petroRad_u","petroRad_g","petroRad_i","petroRad_r","petroRad_z","petroFlux_u","petroFlux_g","petroFlux_i","petroFlux_r","petroFlux_z","petroR50_u","petroR50_g","petroR50_i","petroR50_r","petroR50_z","psfMag_u","psfMag_r","psfMag_g","psfMag_i","psfMag_z","expAB_u","expAB_g","expAB_r","expAB_i","expAB_z","redshift","class"
"1.24E+18","7.68E+18","201.9849365","65.97391994","18.25883","17.88955","17.79736","17.72214","17.58004","1412","301","2","215","6825","56717","478","1.548403","1.365878","1.275826","1.441628","1.236505","48.58055","67.50772","78.10954","73.02079","88.17807","0.7632648","0.6933869","0.6503468","0.7324889","0.6088143","18.25479","17.78871","17.91269","17.7196","17.57368","0.7151799","0.6601475","0.9916192","0.6650867","0.2999859","2.141037","QSO"
"1.24E+18","5.61E+17","210.6992285","64.67935472","18.64257","16.52095","15.61209","15.17371","14.82292","1412","301","2","240","498","51984","231","15.53733","8.066574","8.026617","8.07452","63.59172","36.06544","215.0954","733.4597","499.4547","1081.973","3.844142","3.331301","3.278953","3.320327","3.601424","20.52123","17.3665","18.43535","17.00136","16.75023","0.8223396","0.672365","0.6712078","0.6476426","0.6636332","0.06722972","GALAXY"
"1.24E+18","8.02E+18","210.9727621","64.6649972","17.00155","16.81903","16.94753","17.06458","17.21252","1412","301","2","241","7123","56726","590","1.452558","1.491679","1.207148","1.350193","6.633615","152.6202","178.43","143.0936","160.5255","123.5697","0.7275038","0.7627746","0.6333384","0.6959797","0.5869104","17.0012","16.95951","16.84264","17.06671","17.22877","0.1154311","0.752058","0.8061876","0.999824","0.3983239","-0.004136078","STAR"
"1.24E+18","5.61E+17","211.0008904","64.68273448","17.16044","15.07648","14.20869","13.75514","13.44742","1412","301","2","241","498","51984","199","27.67409","19.28985","19.77109","15.39606","21.55397","157.6404","927.1331","3126.023","1935.531","4259.653","9.263619","7.161837","7.191162","6.188942","7.317287","19.4067","16.52175","17.51513","16.1706","15.9258","0.8263989","0.8121209","0.7867758","0.826426","0.8343096","0.0676686","GALAXY"
"1.24E+18","5.61E+17","211.1768354","64.76283673","17.93192","16.62292","16.07102","15.77533","15.58589","1412","301","2","241","498","51984","180","13.1125","10.42979","8.564982","8.711586","8.477513","79.66497","241.9818","476.8978","374.4006","586.9203","5.185306","4.744999","4.248597","4.340116","4.284182","21.0486","18.90336","19.72491","18.72535","18.62372","0.7063513","0.6895826","0.7037081","0.6875499","0.6432372","0.02544334","GALAXY"
"1.24E+18","3.71E+18","211.100765","64.58475099","19.28074","16.7191","15.51759","15.08682","14.85486","1412","301","2","242","3295","54924","31","1.44922","1.20006","1.195696","1.438915","1.14841","18.71194","198.3783","893.8749","592.2907","1094.944","0.7361059","0.6211265","0.6254818","0.7423883","0.6045401","19.28012","15.52509","16.70299","15.07401","14.86002","0.5766062","0.7875706","0.08858285","0.2082785","0.8999593","-0.000109648","STAR"
"1.24E+18","5.61E+17","211.2536347","64.65005458","18.98283","17.17762","16.35627","15.98021","15.65353","1412","301","2","242","498","51984","168","6.013502","6.12532","5.941296","6.082802","5.372042","22.89606","128.0053","383.8747","271.2777","484.3166","2.146483","2.347685","2.343834","2.400022","2.158416","20.37186","17.68915","18.62738","17.39715","17.12014","0.6553069","0.6840242","0.7068747","0.6219626","0.6816059","0.06845089","GALAXY"
"1.24E+18","7.87E+18","211.5395949","64.66153493","18.40067","17.53469","17.30379","17.20979","17.20802","1412","301","2","243","6986","56717","92","1.453065","1.254709","1.192706","1.339344","1.135733","42.85736","94.7288","125.7255","115.7962","125.3436","0.7229348","0.6432477","0.6179855","0.6870532","0.5929996","18.40142","17.28772","17.55084","17.1976","17.21264","0.9997231","0.5772041","0.6742148","0.4499798","0.396085","-0.001281352","STAR"
"1.24E+18","5.61E+17","211.5023191","64.55359169","18.27901","18.08509","18.28181","18.46149","18.68841","1412","301","2","243","498","51984","163","1.391279","1.257768","1.231932","1.433426","1.036528","46.81297","57.28504","38.86403","47.94941","28.47203","0.7067533","0.6501738","0.6329698","0.7252112","0.5486722","18.26673","18.29623","18.10581","18.46807","18.71377","0.5471359","0.6813673","0.9970064","0.5998896","0.1736687","-3.08E-05","STAR"
"1.24E+18","5.61E+17","211.6501113","64.60598105","17.32946","15.94065","15.50984","15.36949","16.0834","1412","301","2","243","498","51984","149","1.408891","1.211325","1.201131","1.335201","1.483856","113.7506","407.7244","681.3842","602.9147","414.7954","0.7079679","0.6257237","0.6252244","0.683632","0.75364","17.31494","15.50754","15.93426","15.35314","16.21208","0.8723111","0.7464553","0.9997029","0.6492649","0.8619636","-0.000241803","STAR"
